,level_0,Sentence,Polarity_Classification
0,911,It's often choppy or unclear and I would imagine that its targetted age group would have difficulty following his train of thought,Negativa
1,40,"But Nix doesn't downplay his brand of horrific fantasy either; stuff that would seem silly for most other authors, like dog-faced monsters, is magic in his hands",Positiva
2,1068,He donated much of his wealth to the poor which is more than can be said for the contemporary crooks and gangsters of corporate America,Positiva
3,621,"Highly recommended, especially for the younger set, and any adults who enjoy a little Through The Looking Glass style whimsey",Positiva
4,427,"The main character, Arthur is flawed and that is what makes him the ""chosen"" one for the Keys to the Kingdom",Negativa
5,627,I thought that I was pregnant once so I understood what Liz was going through,Positiva
6,588,"I think that there are some wonderful ideas here, but I Nix simply didn't take the time to adequately develop them for the novel",Negativa
7,128,"As Jack grows suspicious of Amy, he grows closer and closer to Gary (who in the conventional thriller would have been a woman I think), and their eventual friendship and bonding has a distinct homoerotic charge to it as they both learn that women (and little girls) can't be trusted",Positiva
8,973,"Unfortunately, since it is a book for kids, it  lacks the story development that I find so fascinating in her other books",Negativa
9,156,"This opening episode introduces us to Arthur, a displaced but sharp young boy in his first days at a new school",Positiva
10,917,"Arthur Penhaligon was a believable hero who after strange creatures called Fetchers bring a sleeply plague to his town, with his newly acquired key, Arthur must venture into the mysterious House that only he can see to save his town",Positiva
11,899,Pretty boring book,Negativa
12,930,It has a really good moral,Positiva
13,583,"It took me a considerable amount of time to get into it, only to find that the plot makes little to no sense",Negativa
14,310,I believe this is the best of the best,Positiva
15,935,this series takes a break from the usual fantasy and delivers more dark and sinister book,Negativa
16,1061,"While the book has points where it is very informative, I believe the author could have used a more involved editor in composing his book",Negativa
17,735,"She slept in a cage, wished that people would die and drew gory, disgusting pictures",Negativa
18,856,"However, I recognised a considerable story-telling talent, and suspected I would really enjoy this author with a different subject matter",Positiva
19,938,"If you like your suspense novels to be offbeat and edgy, and you don't mind a few genuine shocks, THE INTRUDERS is the book for you",Positiva
20,1016,Just don't expect it to have too many insights to offer today,Negativa
21,886,I would strongely recommend this book for someone who likes a book in which they can picture all of the important moments,Positiva
22,525,This book is not the best book for storytime or a bedtime story,Negativa
23,763,"""  McDermid's skill as a writer of fast-paced and well-crafted thrillers makes this new novel a ""must-read"" for fans of this genre",Positiva
24,1042,"At the same time, Carol Jordan, a very ambitious DCI and the love of Hill's life, is offered any position she wants if she does her superiors a ""favor"" --- seduce Tadeusz Radecki into a sting that will expose his drug, arms and people smuggling businesses",Positiva
25,922,"Angela and Diabola is a silly, funny and a great book",Positiva
26,466,Angela is becoming even more good,Positiva
27,941,The author knows how to make the characters come alive--I felt like I was an active observer/participant so easily,Positiva
28,186,I couldn't finish it and I usually love Val McDermid's work,Negativa
29,590,It keeps you on the edge of your seat,Positiva
30,242,"Diabola then starts to love school, and especially drawing",Positiva
31,877,"It was hard to care about the side characters, because they were so bizarre",Negativa
32,986,Nix makes some interesting speculations upon the origins of the universe,Positiva
33,903,"This book is well written and extremely intrigueing,as I found; once I started it, I couldn't put it down! It rocks!Garth Nix has a way with words",Positiva
34,860,The hero makes wise decisions - but I wouldn't be at all surprised if they came back to `bite him' later in the week!,Positiva
35,1052,Highly recommended,Positiva
36,95,"Eventually it leads to a battle which is quite large in scale and Arthur does triumph even with his asthma and various other faults, which makes him a likable character, he is not perfect, He is a child and has health problems, so he is more real than these characters who have no faults at all",Positiva
37,847,Another cool part of the story is how he described the landscapes that were in the book,Positiva
38,178,The rest of the characters were a bit like paper dolls,Negativa
39,268,Monday is interesting enough but to really enjoy you have to continue the series,Positiva
40,969,"This landmark study argues that although psychoanalysis offers an incisive picture of human nature, it provides untestable operational definitions and makes unsubstantiated claims concerning its therapeutic efficacy",Positiva
41,671,"I liked this book, it caught my interest quickly which for me is important",Positiva
42,62,I have never (so far) read a Garth Nix book that doesn't re-inspire me to read more books,Positiva
43,237,This fascinating book shows great imaginative restraint,Positiva
44,36,"Now he expands further, in a darker, grittier, more realistic fantasy set in our world, where a confused young boy has to escape dark forces that want to use him for their own ends -- or kill him",Positiva
45,70,It was intense and creepy,Positiva
46,241,"Then Diabola draws a horrid picture, and the principal thinks Diabola is a genius",Positiva
47,773,Author Anne Kingston deserves five stars-plus for her exhaustive research and objective presentation of the subject,Positiva
48,476,99 and it includes an enlighting author interview at the end,Positiva
49,861,"The plot is well-paced, gripping and full of surprising twists and turns",Positiva
50,85,I would really love to read another one of Bebe Faas Rice's books very very much,Positiva
51,52,"The characters are likeable, the plot is complicated yet compelling and the writing superb",Positiva
52,300,"I read ""The Mermaids Singing"" and was enthralled, but this one was a big disappointment",Negativa
53,665,That's where Agatha Christie shows what a good writer she is,Positiva
54,205,They provided relief from Liz's ridiculousness,Negativa
55,1025,I loved it!,Positiva
56,892,It's one of those books that keep you turning the page and craving for more,Positiva
57,457,This is great mystery,Positiva
58,672,And it's an exciting story that holds your interest until the end,Positiva
