,index,Sentence,Polarity_Classification
0,0,I love it,Positiva
1,1,"Angela and Diabola is a silly, funny and a great book",Positiva
2,2,"Personally, I don't mind the sacrifice of order a bit, especially in a book for children",Positiva
3,3,It says that he is the rightfull heir to the kingdom{the House} but all Aurther wants is a cure to the Sleepy Plauge,Neutra
4,4,"Valentine's Day massacre to his eventual control of Chicago, here is the inside scoop on ""Snorky"" aka ""Scarface"" aka ""Public Enemy Number One",Negativa
5,5,"If you like your suspense novels to be offbeat and edgy, and you don't mind a few genuine shocks, THE INTRUDERS is the book for you",Positiva
6,6,Noon with his big flame sword and Arthur with his clock sword,Neutra
7,7,"He would quickly and efficiently describe every place they went, not like some stories where the spend pages describing one little thing",Positiva
8,8,It definitely is not a wartime thriller,Negativa
9,9,It really isn't  confusing though,Positiva
10,10,"Later that week a plague hits the town, Arthur has to unravel the mysteries of the key to save his family and friends",Neutra
11,11,There are also a few really violent scenes that make me want to classify this more for Teens,Neutra
12,12,"Although it is the literary equivalent of a cluttered desk, Mister Monday's images are rich, and will leave you wanting more",Neutra
13,13,The concept of the murderer who is brilliant enough to manipulate others into doing the job for him is extremely interesting,Positiva
14,14,"It often gets muddled with overwhelming imagery, perhaps to make up for a lack of plot from time to time",Negativa
15,15,"If you haven't experienced him in either incarnation, you've missed a treat and this novel is a perfect place to begin familiarising yourself with his work",Positiva
16,16,"Although The only reason Arthur is in this adventure is so he can save the world from the plague the ""Key"" brought with it",Neutra
17,17,"It's a thriller that has you connecting dots like mad, except, are you connecting the right ones? Unto the final page, you won't know!",Positiva
18,18,"I also liked the strange, deformed ""people"" and the wooden robot-creatures that wielded axes and drills",Positiva
19,19,The book does a fair job at examining some of the terrain,Positiva
20,20,"From what I've heard, the author Garth Nix doesn't believe in any religion, and you can see this reflected in the main character Arthur at one point",Neutra
21,21,Detective Carol Jordan and Dr,Neutra
22,22,It introduces the consequences of seemingly innocent actions and captures the reader's undivided attention from page one,Neutra
23,23,"Handicapped and with the odds always against him, he does not give up trying to do what's right",Neutra
24,24,"cop now living in rural Washington state, whose background may be a little murky, is surprised by a visit from a high school semi-buddy who wants his help with a murdered family and a disappeared husband who may have been onto some highly secretive organization",Neutra
25,25,"However, Arthur's behavior didn't match his age",Neutra
26,26,"The Will, both in frog and human form, is wonderfully quirky and cranky, and even Mister Monday turns out not to be irredeemable",Positiva
27,27,"Jack agrees to take the case, but when he calls his wife who is in Seattle on business, the hotel desk clerk says she has not checked in and she fails to answer her cell phone",Neutra
28,28,The Meaning of Wife picks up where that excellent book ends,Neutra
29,29,"When a distanced run in gym class brings on a devastating asthma attack, Arthur is supposed to die",Negativa
30,30,"We are introduced to the typical male-boy protagonist, the awkward in school, unsure of himself protagonist with an incredible future",Neutra
31,31,But the book is easy to read,Positiva
32,32,The author followed through with the title in the beginning with an overwhelming introduction,Positiva
33,33,"Lynne Reid Banks is a well-thought ,unique, interesting mind",Positiva
34,34,"Capone was sentenced to eleven years, but served less than six due to good behavior and the terminal phase of syphilis",Neutra
35,35,She acts so badly that Mr,Negativa
36,36,"Of course, the good one do good and the bad one do bad",Neutra
37,37,"As a fan of Nix's previous series, the Abhorsen Triology, and The Seventh Tower, as a teen I looked towards his new budding series, shortly after its publication",Neutra
38,38,Their parents paid no attention to her at all,Neutra
39,39,"this book is EXTREAMLY good, but very confusing at times",Positiva
40,40,Including a strange house a few blocks away from his house,Neutra
41,41,Lot's of things happen during the time when they try to solve the murder,Neutra
42,42,"A young girl, walking alone on a beach, is approached by a polite man and shortly thereafter leaves without explanation, even as her demeanor begins to change",Neutra
43,43,Two storyline threads interweave themselves into this compelling plot,Positiva
44,44,"By the time they get on to the next books, the general formula of where Nix is going is straightened out and most of the things Arthur sees and hears of in this first book are understandable (which should justify a second reading!) Make sure ""Grim Tuesday"" is on hand to continue Arthur's story",Neutra
45,45,After reading several pages I relented and purchased Mister Monday,Neutra
46,46,"As they work these difficult cases, Jordan and Hill provide one another with much needed advice and emotional support",Neutra
47,47,"When he returns home after another stay in the hospital, Arthur finds that the Key seems to be attracting unwanted attention -- a statue of a Komodo dragon comes alive, and a winged man-dog tries to come into his house",Neutra
48,48,"However, just as he is about to die, he is handed a key shaped like a minute hand from a mysterious person called Mr",Neutra
49,49,McDermid doesn't pull any punches in writing about vicious psychopaths who commit sex crimes and the books may well be disturbing to many,Neutra
50,50,I really had to push myself to finish it and as I was reading felt constantly confused and hoping it would end soo,Negativa
51,51,I never suspected the killer to be who she was,Neutra
52,52,Despite its cover 'Turbulent Priests' has little to do with bedraggled young women who smoke,Neutra
53,53,"Grim Monday's Noon is a wonderfully likable villian and his master, Mister Monday (after whom this first book is named)is a slothfully entertaining fellow, with his victorian clothing &amp; die-away-airs",Neutra
54,54,I  suggest this book should be read by 7 years olds and up,Neutra
55,55,This is where Arthur must unravel the secrets of the key and discover his true fate,Neutra
56,56,"The Intruders is no different in this regard, but that's why its so much fun to read!  If you like to be mentally twisted up in a book, Marshall's writing will accomodate you",Positiva
57,57,"Monday, one of the seven trusties entrusted with the Will while GA is off gallivanting about",Neutra
58,58,The Intruders is a tale that will appeal to readers who want an engrossing thriller with other-worldly tones,Positiva
59,59,"It is actually a very good book, one that i expect will appeal to many people",Positiva
60,60,THE INTRUDERS affirm Michael Marshall's winning of the Philip K,Neutra
61,61,"If you're paranoid at all, you're going to get your instincts jumpstarted within a few pages of reading THE INTRUDERS",Neutra
62,62,"Like when Arthur first got to the House, as everyone called the world he went to, the author quickly described where he appeared but I could vividly see it in my head",Positiva
63,63,"Whether writing as Marshall or Marshall Smith, this is a novelist who has always been way ahead in his field and he only gets better with every book",Positiva
64,64,He meets new friends,Neutra
65,65,Once he went in the house he went to Mondays portal and ended up in this weird land,Neutra
66,66,"If you treated him as an equal, he could help and befriend you",Neutra
67,67,"Liz is a little more outgoing and popular, who sets Maggie up on a double date with her and Sean",Positiva
68,68,"This book was really, really good and I would recommend that alot of people buy it",Positiva
69,69,"I liked the story, but it lacked the detail and depth that can be found in Tolkien and Rowling",Positiva
70,70,"during the run he comes to have this thing known as the lesser key, it looks sorta like the minute hand of a clock",Neutra
71,71,The Last Temptation -- 3 stars,Positiva
72,72,""" (Susan Griffin)  However, it was not until reading, ""The Meaning of Wife,"" that I truly began to confront and make peace with my existence as a female and all the roles I play as an individual and as a partner in a communion I chose",Neutra
73,73,And he's not sure anyone is really telling him the truth,Neutra
74,74,"Which is interesting in ways which will be revealed once you read the book, remembering that ""Prometheus"" means ""Forethought""",Positiva
75,75,"The positive jacket blurb from Stephen King convinced me to read this book, but I wish I'd picked something else",Neutra
76,76,This is by far the best out of the four Dr,Positiva
77,77,He seems to be quite naive and very trusting as his friend describes him,Positiva
78,78,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
79,79,Cuthbertson-Jones leaves and abandons his family,Neutra
80,80,"com rates its readership the same as for Mister Monday--ages 9-12, which would be about right",Positiva
81,81,Garth Nix rules!,Positiva
82,82,It has a really good moral,Positiva
83,83,You find your self almost hurrying to the next page because the suspense builds through to the end of the book,Positiva
84,84,"Taken together, they portend the arrival of something far beyond anything that Jack can imagine",Neutra
85,85,"Though Arthur skips to another world, he's clearly from our own",Neutra
86,86,"Arthur is suspended between many betrayals, and has many things like ""Trust the Will"" and then ""Don't trust the Will"" told to him, and is constantly hunted by the lazy mister monday and his Noon (Right hand man), Dawn (Left hand woman) and constantly helped by Mondays Dusk, the final of the trio of the day (You may have guessed Mister Monday can only come to earth on monday, his dawn can only come from 12:01 AM-1:00 AM, Noon can only come from 12:00 PM-1:00 PM, and finaly dusk can come from 11:00 PM-12:00 AM)",Neutra
87,87,The story is basically a double romance but Zindel has too much of a grip on the ugliness of life to describe the book as 'romantic,Neutra
